season, method , bottom2_save, rank_tie_method, n_weeks, weekly_agreement_rate, elim_vote_share_mean, elim_vote_share_pctile
     1, percent, False       ,                ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, percent, True        ,                ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , False       , average        ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , False       , min            ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , True        , average        ,       6,   0.5                , 0.2005233764648437  ,    0.6666666666666666
     1, rank   , True        , min            ,       6,   0.5                , 0.2005233764648437  ,    0.6666666666666666
     2, percent, False       ,                ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, percent, True        ,                ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , False       , average        ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , False       , min            ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , True        , average        ,       8,   0.875              , 0.13292894033449035 ,    0.2840702947845805
     2, rank   , True        , min            ,       8,   0.875              , 0.13292894033449035 ,    0.2840702947845805
     3, percent, False       ,                ,      10,   0.8                , 0.01756330709904428 ,    0.11397546897546898
     3, percent, True        ,                ,      10,   0.5                , 0.04924739687703548 ,    0.17540584415584415
     3, rank   , False       , average        ,      10,   0.5                , 0.07024860512465236 ,    0.2203246753246753
     3, rank   , False       , min            ,      10,   0.5                , 0.08524096384644506 ,    0.25883838383838387
     3, rank   , True        , average        ,      10,   0.4                , 0.07527579118808107 ,    0.2636363636363636
     3, rank   , True        , min            ,      10,   0.4                , 0.07527579118808107 ,    0.2636363636363636
     4, percent, False       ,                ,      10,   1.0                , 0.023339670733548663,    0.14831800144300145
     4, percent, True        ,                ,      10,   0.4                , 0.0522011391818523  ,    0.22795093795093796
     4, rank   , False       , average        ,      10,   0.3                , 0.08672922352949775 ,    0.26866281866281866
     4, rank   , False       , min            ,      10,   0.3                , 0.08672922352949775 ,    0.26866281866281866
     4, rank   , True        , average        ,      10,   0.4                , 0.0522011391818523  ,    0.22795093795093796
     4, rank   , True        , min            ,      10,   0.4                , 0.06902134884148832 ,    0.2975649350649351
     5, percent, False       ,                ,      10,   0.8                , 0.024877928663045112,    0.15759830447330447
     5, percent, True        ,                ,      10,   0.2                , 0.06799792423844332 ,    0.23461760461760459
     5, rank   , False       , average        ,      10,   0.3                , 0.05034469360751761 ,    0.22234590806019375
     5, rank   , False       , min            ,      10,   0.3                , 0.05034469360751761 ,    0.22234590806019375
     5, rank   , True        , average        ,      10,   0.2                , 0.07544613629579537 ,    0.2701731601731602
     5, rank   , True        , min            ,      10,   0.2                , 0.07544613629579537 ,    0.2701731601731602
     6, percent, False       ,                ,      10,   1.0                , 0.022099904832430156,    0.1525793650793651
     6, percent, True        ,                ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     6, rank   , False       , average        ,      10,   0.8                , 0.03834287196929964 ,    0.16723356009070295
     6, rank   , False       , min            ,      10,   0.8                , 0.03834287196929964 ,    0.16723356009070295
     6, rank   , True        , average        ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     6, rank   , True        , min            ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     7, percent, False       ,                ,      10,   0.6                , 0.019613214069977347,    0.11506549006549006
     7, percent, True        ,                ,      10,   0.3                , 0.04068108368664975 ,    0.1486013986013986
     7, rank   , False       , average        ,      10,   0.7                , 0.0260084623470902  ,    0.14205239205239203
     7, rank   , False       , min            ,      10,   0.7                , 0.0260084623470902  ,    0.14205239205239203
     7, rank   , True        , average        ,      10,   0.3                , 0.04068108368664975 ,    0.1486013986013986
     7, rank   , True        , min            ,      10,   0.2                , 0.05351823568344115 ,    0.23076923076923078
     8, percent, False       ,                ,      11,   1.0                , 0.01979215815663332 ,    0.1435838852505519
     8, percent, True        ,                ,      11,   0.45454545454545453, 0.052236652933061074,    0.1927968856540285
     8, rank   , False       , average        ,      11,   0.7272727272727273 , 0.029901796136982687,    0.17318861693861692
     8, rank   , False       , min            ,      11,   0.7272727272727273 , 0.029901796136982687,    0.17318861693861692
     8, rank   , True        , average        ,      11,   0.45454545454545453, 0.0597835058967272  ,    0.23203601953601952
     8, rank   , True        , min            ,      11,   0.45454545454545453, 0.0597835058967272  ,    0.23203601953601952
     9, percent, False       ,                ,      10,   0.5                , 0.01495052687823766 ,    0.09782983220483221
     9, percent, True        ,                ,      10,   0.4                , 0.01641577994450919 ,    0.09921398046398047
     9, rank   , False       , average        ,      10,   0.8                , 0.01403252733871335 ,    0.11628044574473147
     9, rank   , False       , min            ,      10,   0.8                , 0.01403252733871335 ,    0.11628044574473147
     9, rank   , True        , average        ,      10,   0.4                , 0.02344062505289905 ,    0.12996985653235654
     9, rank   , True        , min            ,      10,   0.4                , 0.02344062505289905 ,    0.12996985653235654
    10, percent, False       ,                ,      10,   0.8                , 0.02817566719438343 ,    0.1682075860647289
    10, percent, True        ,                ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    10, rank   , False       , average        ,      10,   0.4                , 0.07550375846525027 ,    0.24485329485329485
    10, rank   , False       , min            ,      10,   0.4                , 0.07550375846525027 ,    0.24485329485329485
    10, rank   , True        , average        ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    10, rank   , True        , min            ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    11, percent, False       ,                ,      10,   1.0                , 0.020856355627377768,    0.14109748276414943
    11, percent, True        ,                ,      10,   0.7                , 0.06219715299084775 ,    0.18700847763347764
    11, rank   , False       , average        ,      10,   0.7                , 0.04357276218278062 ,    0.19025458668315812
    11, rank   , False       , min            ,      10,   0.7                , 0.04357276218278062 ,    0.19025458668315812
    11, rank   , True        , average        ,      10,   0.6                , 0.08288378641009324 ,    0.22596887239744382
    11, rank   , True        , min            ,      10,   0.6                , 0.08288378641009324 ,    0.22596887239744382
    12, percent, False       ,                ,      10,   1.0                , 0.022956519154831725,    0.14831800144300145
    12, percent, True        ,                ,      10,   0.8                , 0.03342031474624357 ,    0.16474438260152544
    12, rank   , False       , average        ,      10,   0.8                , 0.03342031474624357 ,    0.16474438260152544
    12, rank   , False       , min            ,      10,   1.0                , 0.022956519154831725,    0.14831800144300145
    12, rank   , True        , average        ,      10,   0.8                , 0.03342031474624357 ,    0.16474438260152544
    12, rank   , True        , min            ,      10,   0.4                , 0.0959204114042222  ,    0.3143939393939394
    13, percent, False       ,                ,      10,   1.0                , 0.02318405867036842 ,    0.14109748276414943
    13, percent, True        ,                ,      10,   0.6                , 0.04243550289954455 ,    0.17466501752216038
    13, rank   , False       , average        ,      10,   0.6                , 0.04233511231307467 ,    0.2035353535353535
    13, rank   , False       , min            ,      10,   0.5                , 0.04771175483862553 ,    0.21893939393939396
    13, rank   , True        , average        ,      10,   0.4                , 0.06522079072892661 ,    0.2346320346320346
    13, rank   , True        , min            ,      10,   0.4                , 0.06522079072892661 ,    0.2346320346320346
    14, percent, False       ,                ,      10,   1.0                , 0.01910387503448869 ,    0.14415133477633477
    14, percent, True        ,                ,      10,   0.7                , 0.04808258518044433 ,    0.2055607091321377
    14, rank   , False       , average        ,      10,   0.8                , 0.02539798444403064 ,    0.15283962069676355
    14, rank   , False       , min            ,      10,   0.8                , 0.02539798444403064 ,    0.15283962069676355
    14, rank   , True        , average        ,      10,   0.4                , 0.07388027571141717 ,    0.28056277056277057
    14, rank   , True        , min            ,      10,   0.4                , 0.07388027571141717 ,    0.28056277056277057
    15, percent, False       ,                ,      10,   1.0                , 0.019181248731911127,    0.14957383885955314
    15, percent, True        ,                ,      10,   0.5                , 0.03909240600963429 ,    0.2228132978132978
    15, rank   , False       , average        ,      10,   0.5                , 0.03909240600963429 ,    0.2228132978132978
    15, rank   , False       , min            ,      10,   0.5                , 0.03909240600963429 ,    0.2228132978132978
    15, rank   , True        , average        ,      10,   0.4                , 0.05089153380443648 ,    0.3019799644799645
    15, rank   , True        , min            ,      10,   0.4                , 0.05089153380443648 ,    0.3019799644799645
    16, percent, False       ,                ,      10,   0.6                , 0.012875436572357925,    0.11121933621933622
    16, percent, True        ,                ,      10,   0.2                ,                     ,     
    16, rank   , False       , average        ,      10,   0.9                , 0.017000704870692256,    0.1337920016491445
    16, rank   , False       , min            ,      10,   0.9                , 0.017000704870692256,    0.1337920016491445
    16, rank   , True        , average        ,      10,   0.3                , 0.0101710967719554  ,    0.09090909090909091
    16, rank   , True        , min            ,      10,   0.3                , 0.0101710967719554  ,    0.09090909090909091
    17, percent, False       ,                ,      11,   1.0                , 0.01838242614434819 ,    0.14109748276414943
    17, percent, True        ,                ,      11,   0.2727272727272727 , 0.07336714621633288 ,    0.23492063492063492
    17, rank   , False       , average        ,      11,   0.6363636363636364 , 0.040874617329488154,    0.1947811447811448
    17, rank   , False       , min            ,      11,   0.6363636363636364 , 0.040874617329488154,    0.1947811447811448
    17, rank   , True        , average        ,      11,   0.2727272727272727 , 0.09431151649914679 ,    0.2777777777777778
    17, rank   , True        , min            ,      11,   0.2727272727272727 , 0.09431151649914679 ,    0.2777777777777778
    18, percent, False       ,                ,      10,   0.4                , 0.0135625842958688  ,    0.09090909090909091
    18, percent, True        ,                ,      10,   0.4                , 0.0135625842958688  ,    0.09090909090909091
    18, rank   , False       , average        ,      10,   0.7                , 0.011336652911268124,    0.11746933621933622
    18, rank   , False       , min            ,      10,   0.7                , 0.011336652911268124,    0.11746933621933622
    18, rank   , True        , average        ,      10,   0.4                , 0.0159574262797832  ,    0.15656565656565657
    18, rank   , True        , min            ,      10,   0.4                , 0.0159574262797832  ,    0.15656565656565657
    19, percent, False       ,                ,      11,   1.0                , 0.01887726802378889 ,    0.13468004218004218
    19, percent, True        ,                ,      11,   0.45454545454545453, 0.04981230851262803 ,    0.1834998334998335
    19, rank   , False       , average        ,      11,   0.6363636363636364 , 0.029902399310635146,    0.1711171544504878
    19, rank   , False       , min            ,      11,   0.6363636363636364 , 0.029902399310635146,    0.1711171544504878
    19, rank   , True        , average        ,      11,   0.2727272727272727 , 0.06512356922030446 ,    0.2512210012210012
    19, rank   , True        , min            ,      11,   0.2727272727272727 , 0.06512356922030446 ,    0.2512210012210012
    20, percent, False       ,                ,      10,   1.0                , 0.01849707530345763 ,    0.14415133477633477
    20, percent, True        ,                ,      10,   0.3                , 0.09011491946876048 ,    0.3101190476190476
    20, rank   , False       , average        ,      10,   0.3                , 0.08032232283481526 ,    0.2917903525046382
    20, rank   , False       , min            ,      10,   0.3                , 0.08032232283481526 ,    0.2917903525046382
    20, rank   , True        , average        ,      10,   0.2                , 0.10292580506453908 ,    0.34989177489177486
    20, rank   , True        , min            ,      10,   0.2                , 0.10292580506453908 ,    0.34989177489177486
    21, percent, False       ,                ,      11,   0.6363636363636364 , 0.011888710161050134,    0.10883190883190884
    21, percent, True        ,                ,      11,   0.36363636363636365, 0.028454619459807852,    0.19230769230769232
    21, rank   , False       , average        ,      11,   0.7272727272727273 , 0.012113296892493925,    0.11733821733821734
    21, rank   , False       , min            ,      11,   0.45454545454545453, 0.023157949093729212,    0.18934676434676434
    21, rank   , True        , average        ,      11,   0.36363636363636365, 0.028454619459807852,    0.19230769230769232
    21, rank   , True        , min            ,      11,   0.36363636363636365, 0.028454619459807852,    0.19230769230769232
    22, percent, False       ,                ,      10,   1.0                , 0.018037502786942827,    0.148502886002886
    22, percent, True        ,                ,      10,   0.5                , 0.05617725327610966 ,    0.22484848484848485
    22, rank   , False       , average        ,      10,   0.5                , 0.0867487075073378  ,    0.2721139971139971
    22, rank   , False       , min            ,      10,   0.5                , 0.0867487075073378  ,    0.2721139971139971
    22, rank   , True        , average        ,      10,   0.5                , 0.05341121501156259 ,    0.26735209235209234
    22, rank   , True        , min            ,      10,   0.5                , 0.05254897320022182 ,    0.25404040404040407
    23, percent, False       ,                ,      11,   1.0                , 0.017866278946813544,    0.1435838852505519
    23, percent, True        ,                ,      11,   0.45454545454545453, 0.05421160308954612 ,    0.20200586450586452
    23, rank   , False       , average        ,      11,   0.36363636363636365, 0.0501968672366014  ,    0.21535567606996178
    23, rank   , False       , min            ,      11,   0.36363636363636365, 0.0501968672366014  ,    0.21535567606996178
    23, rank   , True        , average        ,      11,   0.2727272727272727 , 0.07768998395962015 ,    0.31196257446257447
    23, rank   , True        , min            ,      11,   0.2727272727272727 , 0.09537131211254742 ,    0.3596736596736597
    24, percent, False       ,                ,      10,   1.0                , 0.019088208442553833,    0.1468299062049062
    24, percent, True        ,                ,      10,   0.6                , 0.08315069733985829 ,    0.31270356627499485
    24, rank   , False       , average        ,      10,   0.7                , 0.04142309751893789 ,    0.2055607091321377
    24, rank   , False       , min            ,      10,   0.7                , 0.04142309751893789 ,    0.2055607091321377
    24, rank   , True        , average        ,      10,   0.6                , 0.07989159199808323 ,    0.24127499484642342
    24, rank   , True        , min            ,      10,   0.6                , 0.07989159199808323 ,    0.24127499484642342
    25, percent, False       ,                ,      10,   1.0                , 0.019740089774131726,    0.15269643550893552
    25, percent, True        ,                ,      10,   0.2                , 0.07270486326888198 ,    0.2762019230769231
    25, rank   , False       , average        ,      10,   0.3                , 0.061401177849620535,    0.255506993006993
    25, rank   , False       , min            ,      10,   0.3                , 0.061401177849620535,    0.255506993006993
    25, rank   , True        , average        ,      10,   0.2                , 0.07270486326888198 ,    0.2762019230769231
    25, rank   , True        , min            ,      10,   0.2                , 0.07270486326888198 ,    0.2762019230769231
    26, percent, False       ,                ,       4,   1.0                , 0.04846194821099434 ,    0.22361111111111112
    26, percent, True        ,                ,       4,   0.25               , 0.07295989866058024 ,    0.39166666666666666
    26, rank   , False       , average        ,       4,   1.0                , 0.04846194821099434 ,    0.22361111111111112
    26, rank   , False       , min            ,       4,   1.0                , 0.04846194821099434 ,    0.22361111111111112
    26, rank   , True        , average        ,       4,   0.25               , 0.07295989866058024 ,    0.39166666666666666
    26, rank   , True        , min            ,       4,   0.25               , 0.07295989866058024 ,    0.39166666666666666
    27, percent, False       ,                ,       9,   1.0                , 0.01661556653146228 ,    0.12853951603951602
    27, percent, True        ,                ,       9,   0.6666666666666666 , 0.03759694538478336 ,    0.21088078588078588
    27, rank   , False       , average        ,       9,   0.5555555555555556 , 0.04622799038354834 ,    0.2215950715950716
    27, rank   , False       , min            ,       9,   0.5555555555555556 , 0.04622799038354834 ,    0.2215950715950716
    27, rank   , True        , average        ,       9,   0.5555555555555556 , 0.08056254203741746 ,    0.2751942501942502
    27, rank   , True        , min            ,       9,   0.5555555555555556 , 0.08056254203741746 ,    0.2751942501942502
    28, percent, False       ,                ,      11,   0.45454545454545453, 0.0356995686888694  ,    0.08333333333333333
    28, percent, True        ,                ,      11,   0.45454545454545453, 0.0356995686888694  ,    0.08333333333333333
    28, rank   , False       , average        ,      11,   0.7272727272727273 , 0.06795128658413885 ,    0.22999999999999998
    28, rank   , False       , min            ,      11,   0.8181818181818182 , 0.0672829753408829  ,    0.2125
    28, rank   , True        , average        ,      11,   0.45454545454545453, 0.0663300715386867  ,    0.3194444444444445
    28, rank   , True        , min            ,      11,   0.45454545454545453, 0.0663300715386867  ,    0.3194444444444445
    29, percent, False       ,                ,      11,   0.7272727272727273 , 0.037381962473903345,    0.10669092811949955
    29, percent, True        ,                ,      11,   0.7272727272727273 , 0.037381962473903345,    0.10669092811949955
    29, rank   , False       , average        ,      11,   0.9090909090909091 , 0.039433150655693444,    0.11274373774373775
    29, rank   , False       , min            ,      11,   0.9090909090909091 , 0.039433150655693444,    0.11274373774373775
    29, rank   , True        , average        ,      11,   0.7272727272727273 , 0.037381962473903345,    0.10669092811949955
    29, rank   , True        , min            ,      11,   0.7272727272727273 , 0.037381962473903345,    0.10669092811949955
    30, percent, False       ,                ,      10,   0.5                , 0.041850589814462776,    0.19973399616256757
    30, percent, True        ,                ,      10,   0.6                , 0.04394670076934348 ,    0.2245355834641549
    30, rank   , False       , average        ,      10,   0.8                , 0.046709509632949266,    0.2428506017791732
    30, rank   , False       , min            ,      10,   0.8                , 0.046709509632949266,    0.2428506017791732
    30, rank   , True        , average        ,      10,   0.9                , 0.06604770082049066 ,    0.3095950924075924
    30, rank   , True        , min            ,      10,   0.8                , 0.0578569383360445  ,    0.31480342574092574
    31, percent, False       ,                ,      10,   0.6                , 0.04305778896169997 ,    0.09321690214547358
    31, percent, True        ,                ,      10,   0.6                , 0.04802081920206541 ,    0.11107404500261643
    31, rank   , False       , average        ,      10,   1.0                , 0.044125434011220876,    0.11216252882919549
    31, rank   , False       , min            ,      10,   1.0                , 0.044125434011220876,    0.11216252882919549
    31, rank   , True        , average        ,      10,   0.6                , 0.04802081920206541 ,    0.11107404500261643
    31, rank   , True        , min            ,      10,   0.6                , 0.04802081920206541 ,    0.11107404500261643
    32, percent, False       ,                ,      11,   0.7272727272727273 , 0.05171851095344336 ,    0.1488059559488131
    32, percent, True        ,                ,      11,   1.0                , 0.047378239946232865,    0.16542932376265707
    32, rank   , False       , average        ,      11,   0.8181818181818182 , 0.050070649944245774,    0.15659410034410035
    32, rank   , False       , min            ,      11,   0.8181818181818182 , 0.050070649944245774,    0.15659410034410035
    32, rank   , True        , average        ,      11,   0.7272727272727273 , 0.04550468309649395 ,    0.17783089925947068
    32, rank   , True        , min            ,      11,   0.7272727272727273 , 0.04550468309649395 ,    0.17783089925947068
    33, percent, False       ,                ,       9,   0.6666666666666666 , 0.05054203327745196 ,    0.17134532134532135
    33, percent, True        ,                ,       9,   1.0                , 0.05640740770225719 ,    0.26231638731638734
    33, rank   , False       , average        ,       9,   0.7777777777777778 , 0.05647286083549256 ,    0.23801198801198803
    33, rank   , False       , min            ,       9,   0.7777777777777778 , 0.05647286083549256 ,    0.23801198801198803
    33, rank   , True        , average        ,       9,   0.7777777777777778 , 0.07589186746627088 ,    0.3290653790653791
    33, rank   , True        , min            ,       9,   0.7777777777777778 , 0.07589186746627088 ,    0.3290653790653791
    34, percent, False       ,                ,      11,   0.7272727272727273 , 0.035070961341261815,    0.15794252044252044
    34, percent, True        ,                ,      11,   1.0                , 0.04386777174659068 ,    0.20848665223665222
    34, rank   , False       , average        ,      11,   1.0                , 0.04386777174659068 ,    0.20848665223665222
    34, rank   , False       , min            ,      11,   1.0                , 0.04386777174659068 ,    0.20848665223665222
    34, rank   , True        , average        ,      11,   0.7272727272727273 , 0.07982370310596051 ,    0.3020459699031127
    34, rank   , True        , min            ,      11,   0.7272727272727273 , 0.07982370310596051 ,    0.3020459699031127
